name,cuisine,location,rating,num_of_rating,price_for_two
Momo Maker,"Snacks, Tandoor","CentraL Market, Lajpat Nagar",4.7,20+ ratings,₹ 200
Moets Kulfi,"Desserts, Beverages","Defence colony market, Defence Colony",4.7,50+ ratings,₹ 200
Behrouz Biryani - Royal & Safe,"Biryani, Mughlai","Near Metro Station, Shakarpur Khas",4.7,1K+ ratings,₹ 500
Triveni Terrace Cafe,Indian,"Opposite FICCI Auditorium, Mandi House",4.7,50+ ratings,₹ 400
Momo Guy,"Chinese, Tibetan","GTB Nagar, GTB Nagar",4.6,20+ ratings,₹ 200
Saini Juice,Beverages,"Near Radhe Krishna Mandir, Gautam Nagar",4.6,100+ ratings,₹ 150
Teavaro,"Beverages, Snacks","GTB Nagar, GTB Nagar",4.6,50+ ratings,₹ 400
GANNU'S SHAKES AND SNACKS,"Snacks, Beverages","Laxmi Nagar, Shahdara",4.6,20+ ratings,₹ 200
SABHARWAL AUNTY'S KITCHEN,Indian,"Ashok Vihar, Ashok Vihar",4.6,20+ ratings,₹ 350
PUNIKAR'S Mumbai Street Food,Closes soonSouth Indian,"PANDAV NAGAR, Mayur Vihar",4.6,20+ ratings,₹ 150
Choko La,"Bakery, Desserts","Defence Colony, Kotla Mubarakpur",4.6,50+ ratings,₹ 600
The Old Delhi,"Mughlai, North Indian","Lajpat Nagar, Defence Colony",4.6,20+ ratings,₹ 400
AKU'S - The Brrgrr Co.,"American, Beverages","South Extension, South Extension",4.6,50+ ratings,₹ 600
Zoet Ice Cream and Desserts,"Desserts, Bakery","Maharani Bagh, Defence Colony",4.6,20+ ratings,₹ 300
SANADIGE,"Indian, Coastal","Chanakyapuri, Chanakyapuri",4.6,20+ ratings,₹ 1500
Suvidha Vegetarian (Old Delhi Original),Indian,"Daryaganj, Daryaganj",4.6,100+ ratings,₹ 300
Salad Days,Salads,"Gole Market, Gole Market",4.6,100+ ratings,₹ 600
Caffe Tonino,Italian,"PVR Plaza, Connaught Place",4.6,20+ ratings,₹ 1400
Havmor Havfunn ice cream,"Ice Cream, Ice Cream Cakes","M Block CP, M Block CP",4.6,50+ ratings,₹ 200
Natural Ice Cream,Ice Cream,"L Block,outer circle, Connaught Place",4.6,100+ ratings,₹ 150
Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream","Connaught Place, Connaught Place",4.6,50+ ratings,₹ 300
Bawarchi (Gujranwala Town),"North Indian, Chinese","Gujranwala Town, Gujranwala Town",4.5,100+ ratings,₹ 400
Downtown Delhi,"North Indian, Indian","Laxmi Nagar, Laxmi Nagar",4.5,20+ ratings,₹ 300
Fabcafe By Fabindia,"North Indian, Healthy Food","Lajpat Nagar, Lajpat Nagar",4.5,100+ ratings,₹ 800
Gopal Jee Ki Rasoi,"Indian, Thalis","Kirti Nagar, Kirti Nagar",4.5,50+ ratings,₹ 200
Papacream,Desserts,"South Extension, South Extension",4.5,20+ ratings,₹ 350
PAL CORNER,"Chinese, Fast Food","South Campus, South Campus",4.5,20+ ratings,₹ 250
Large Pot,"North Indian, Snacks","Laxmi Nagar, Laxmi Nagar",4.5,50+ ratings,₹ 150
Chimney Sizzler,"Chinese, Tibetan","Chankyapuri, Chanakyapuri",4.5,100+ ratings,₹ 500
NIC Natural Ice Creams,"Ice Cream, Desserts","Bagh, Karol Bagh",4.5,500+ ratings,₹ 120
Bismillah Kebab Point,"Opens next at 4:10 pm, todayNorth Indian","Old Delhi, Old Delhi",4.5,20+ ratings,₹ 150
Jung Bahadur Kachori Wala (Old Delhi Original),Snacks,"Chandni Chowk, Chandni Chowk",4.5,50+ ratings,₹ 100
Third Wave Coffee Roasters,"Beverages, Pizzas","Connaught Place, Connaught Place",4.5,20+ ratings,₹ 400
Cinnabon & Auntie Anne's,Bakery,"SHIVAJI STADIUM METRO, Connaught Place",4.5,50+ ratings,₹ 500
Theobroma,"Bakery, Desserts","Connaught Place, Connaught Place",4.5,100+ ratings,₹ 800
Hotel Saravana Bhavan,South Indian,"Janpath Market, Connaught Place",4.5,1K+ ratings,₹ 550
Raja Cafe,"Indian, North Indian","Laxmi Nagar, Krishna Nagar",4.4,20+ ratings,₹ 200
